Date,Open,High,Low,Close,Volume
2024-05-31 04:00:00+00:00,178.3000030517578,179.2100067138672,173.8699951171875,176.44000244140625,58903900
2024-06-03 04:00:00+00:00,177.6999969482422,178.6999969482422,175.9199981689453,178.33999633789062,30786600
2024-06-04 04:00:00+00:00,177.63999938964844,179.82000732421875,176.44000244140625,179.33999633789062,27198400
2024-06-05 04:00:00+00:00,180.10000610351562,181.5,178.75,181.27999877929688,32116400
2024-06-06 04:00:00+00:00,181.75,185.0,181.4900054931641,185.0,31371200
2024-06-07 04:00:00+00:00,184.8999938964844,186.2899932861328,183.3600006103516,184.3000030517578,28021500
2024-06-10 04:00:00+00:00,184.07000732421875,187.22999572753903,183.7899932861328,187.05999755859372,34494500
2024-06-11 04:00:00+00:00,187.05999755859372,187.7700042724609,184.5399932861328,187.22999572753903,27265100
2024-06-12 04:00:00+00:00,188.0200042724609,188.3500061035156,185.42999267578125,186.88999938964844,33984200
2024-06-13 04:00:00+00:00,186.08999633789065,187.6699981689453,182.6699981689453,183.8300018310547,39721500
2024-06-14 04:00:00+00:00,183.0800018310547,183.72000122070312,182.22999572753903,183.66000366210935,25456400
2024-06-17 04:00:00+00:00,182.5200042724609,185.0,181.22000122070312,184.05999755859372,35601900
2024-06-18 04:00:00+00:00,183.7400054931641,184.2899932861328,181.42999267578125,182.80999755859372,36659200
2024-06-20 04:00:00+00:00,182.91000366210935,186.50999450683597,182.72000122070312,186.1000061035156,44726800
2024-06-21 04:00:00+00:00,187.8000030517578,189.27999877929688,185.8600006103516,189.0800018310547,72931800
2024-06-24 04:00:00+00:00,189.3300018310547,191.0,185.3300018310547,185.57000732421875,50610400
2024-06-25 04:00:00+00:00,186.80999755859372,188.83999633789065,185.4199981689453,186.33999633789065,45898500
2024-06-26 04:00:00+00:00,186.9199981689453,194.8000030517578,186.25999450683597,193.6100006103516,65103900
2024-06-27 04:00:00+00:00,195.00999450683597,199.83999633789065,194.1999969482422,197.8500061035156,74397500
2024-06-28 04:00:00+00:00,197.72999572753903,198.8500061035156,192.5,193.25,76930200
2024-07-01 04:00:00+00:00,193.4900054931641,198.3000030517578,192.82000732421875,197.1999969482422,41192000
2024-07-02 04:00:00+00:00,197.27999877929688,200.42999267578125,195.92999267578125,200.0,45600000
2024-07-03 04:00:00+00:00,199.94000244140625,200.02999877929688,196.75999450683597,197.58999633789065,31597900
2024-07-05 04:00:00+00:00,198.6499938964844,200.5500030517578,198.1699981689453,200.0,39858900
2024-07-08 04:00:00+00:00,200.0399932861328,201.1999969482422,197.9600067138672,199.2899932861328,34767300
2024-07-09 04:00:00+00:00,199.3999938964844,200.57000732421875,199.0500030517578,199.33999633789065,32700100
2024-07-10 04:00:00+00:00,200.0,200.1100006103516,197.69000244140625,199.7899932861328,32883800
2024-07-11 04:00:00+00:00,200.08999633789065,200.2700042724609,192.8600006103516,195.0500030517578,44565000
2024-07-12 04:00:00+00:00,194.8000030517578,196.47000122070312,193.8300018310547,194.4900054931641,30598500
2024-07-15 04:00:00+00:00,194.55999755859372,196.19000244140625,190.8300018310547,192.72000122070312,40683200
2024-07-16 04:00:00+00:00,195.58999633789065,196.6199951171875,192.2400054931641,193.0200042724609,33994700
